     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       800,        19,       176,   0.024,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      1200,        15,       306,   0.027,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      2400,        44,       589,   0.037,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      4000,        63,       963,   0.051,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      6400,        92,      1535,   0.070,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    192600,      3067,     46430,   0.478,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     11200,       191,      2669,   0.113,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     19200,       313,      4669,   0.179,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     17600,       270,      4213,   0.168,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     32000,       503,      7745,   0.307,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     54400,       896,     13052,   0.569,pymatching,45faad24e743da974092f01a56d1adec56a6481e3db59596eebc2ed6d6e3a0c3,"{""d_final"":17,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
